x,y,z,vx,vy,vz,period,occult_freqs_then_occult_amps
0.06751729622574615,0.0004704841796074448,3.015643329301879e-31,0.04412889612972918,4.800384047792507,-4.7235174848673836e-30,6.2734336726973705,0.15940233884229987,0.9201936503304222
0.07773478663356866,0.00015123973873179788,-8.3078091919427e-32,0.017674708325688727,4.492699109510365,4.427302313660949e-31,6.286771759265916,0.1590641490246763,0.9100168144615
0.07906922850372029,0.0001315308864207035,-2.3065108319669896e-32,0.016308904047591416,4.456172201429972,6.320735549897694e-32,6.287346997807634,0.15904959601381868,0.9086853372062218
0.08039318855009463,0.00011439154703420852,1.3390731179296632e-31,0.015109628564796973,4.4206749616704615,-1.551114306929116e-30,6.287829705446676,0.15903738600518633,0.9073640888497567
0.08178078404185479,9.856507655488128e-05,-3.5184795657749045e-32,0.013992266718015206,4.384237248473498,2.443050405488719e-31,6.288256363122651,0.15902659533165336,0.9059791230997875
0.08319621278968553,8.430744617203288e-05,6.315835129604918e-32,0.012976549100479793,4.34784704042877,-6.770254239316341e-31,6.288620724383797,0.15901738136672044,0.9045661819232588
0.08464011119211191,7.142123224334578e-05,1.3411212647178919e-31,0.01204971788918887,4.311505373085058,-7.350023263117192e-32,6.288929571548777,0.1590095720778965,0.9031246435453597
0.08607293298447244,6.004771956019633e-05,-6.396910565856501e-32,0.011223092462242963,4.276193406044675,5.305352794140592e-31,6.289182137296336,0.15900318645086833,0.9016940073058457
0.08757493105451122,4.942704001279373e-05,-6.493309077501133e-32,0.010441965150537077,4.239950326156777,4.2017732125725775e-31,6.289397020792255,0.1589977539490794,0.9001941519754961
0.08910737800188609,3.978178315315603e-05,8.647106767110925e-32,0.00972270386256862,4.203758779630425,-1.4486024712391384e-31,6.289570448864654,0.15899336975874281,0.8986637516997181
0.09067095957541503,3.101988171442387e-05,-4.371383725724557e-32,0.009058842750256441,4.167619983228594,2.201013979520618e-31,6.289705666974701,0.1589899516682777,0.897102128441454
0.09226636973194827,2.3062459679624884e-05,1.7884544202541266e-32,0.008444854131474024,4.1315352930991,-9.858483267810732e-32,6.2898053847475985,0.15898743106184812,0.8955085949299372
0.09384987813448815,1.6026999533839735e-05,-1.7038846004598863e-31,0.00789080117616396,4.0964792150857825,6.170253767109271e-31,6.2898704912878385,0.15898578538065447,0.8939268396243177
0.09551015127433485,9.463523756456067e-06,-3.4225469139981854e-33,0.007361870753235751,4.060505767825714,1.5906819845293624e-32,6.289906462959312,0.15898487614862147,0.8922682984631246
0.09720436297631192,3.5231602803616554e-06,-1.1540354817230126e-31,0.006870443132738529,4.0245912151611005,6.589386862754324e-31,6.289912648453888,0.15898471980303386,0.8905757524977603
0.09893323884026181,-1.8426843698073068e-06,-1.6230878072923884e-34,0.006413360440626603,3.98873738352217,9.877251381850715e-33,6.2898903858591275,0.15898528251751265,0.8888484802127476
0.10064935763408335,-6.554082606478815e-06,-6.212956993377787e-32,0.005998943279339441,3.9539126775873417,9.125292497473012e-32,6.2898424855399355,0.1589864932705318,0.8871338654910993
0.10244878422154903,-1.0912324584597562e-05,-2.672997071848148e-32,0.005601744646797097,3.91818434143884,5.095621738046707e-32,6.289767200864082,0.1589883962418547,0.8853359302774416
0.10428507938853503,-1.4816849531183198e-05,-1.048617333648492e-32,0.005231472475750868,3.8825226491080445,1.3171761360957248e-32,6.28966627544952,0.15899094740579547,0.8835010742562935
0.10615899993690785,-1.830218447238458e-05,6.78691461364286e-32,0.0048861325288791875,3.846929734147741,4.710777478872005e-33,6.28954034930577,0.1589941306458712,0.8816285433909511
